city,state_name_x,danger,year
Miami,Florida,472.7601256232163,2013
Miami,Florida,423.9850614697763,2014
Milwaukee,Wisconsin,411.04859335038384,2005
Milwaukee,Wisconsin,537.1382346107168,2006
Milwaukee,Wisconsin,562.5041453001887,2007
Milwaukee,Wisconsin,491.85310173367577,2008
Milwaukee,Wisconsin,440.63485553348744,2009
Milwaukee,Wisconsin,426.06916563136303,2010
Milwaukee,Wisconsin,444.3730269522919,2011
Milwaukee,Wisconsin,529.3337448593999,2012
Milwaukee,Wisconsin,545.5347408893074,2013
Milwaukee,Wisconsin,593.8964711996197,2014
Minneapolis,Minnesota,581.6991205946682,2005
Minneapolis,Minnesota,679.3462331668887,2006
Minneapolis,Minnesota,601.2283159142328,2007
Minneapolis,Minnesota,507.3881296233876,2008
Minneapolis,Minnesota,443.47103377258793,2009
Minneapolis,Minnesota,424.9068163877686,2010
Minneapolis,Minnesota,386.1686868241465,2011
Minneapolis,Minnesota,396.88396883968846,2012
Minneapolis,Minnesota,407.6667188280841,2013
Minneapolis,Minnesota,404.78562828060024,2014
Oakland,California,568.3205239891273,2005
Oakland,California,762.1215844185801,2006
Oakland,California,767.1337894442192,2007
Oakland,California,787.3760853812496,2008
Oakland,California,671.6548882346685,2009
Oakland,California,641.5781984213921,2010
Oakland,California,673.0800850962642,2011
Oakland,California,797.3225661911401,2012
Oakland,California,790.7162151789997,2013
Oakland,California,674.1562071640076,2014
Oklahoma City,Oklahoma,341.4032289613457,2005
Oklahoma City,Oklahoma,320.96056834124374,2006
Oklahoma City,Oklahoma,340.2440801255628,2007
Oklahoma City,Oklahoma,390.9841941019311,2008
Oklahoma City,Oklahoma,372.10538317481814,2009
Oklahoma City,Oklahoma,365.79373412712795,2010
Oklahoma City,Oklahoma,348.5452262678093,2011
Oklahoma City,Oklahoma,367.62496075432284,2012
Oklahoma City,Oklahoma,330.42771150051067,2013
Oklahoma City,Oklahoma,309.52708442898177,2014
Omaha,Nebraska,225.8521624349716,2005
Omaha,Nebraska,240.4203757468148,2006
Omaha,Nebraska,238.808735323406,2007
Omaha,Nebraska,242.2479290455084,2008
Omaha,Nebraska,213.34561221748982,2009
Omaha,Nebraska,222.4189281050868,2010
Omaha,Nebraska,223.8444237629905,2011
Omaha,Nebraska,237.81611120415337,2012
Omaha,Nebraska,230.45290724482206,2013
Omaha,Nebraska,224.2368262004949,2014
Orlando,Florida,723.0015692614961,2005
Orlando,Florida,793.2884110709856,2006
Orlando,Florida,760.9049225326077,2007
Orlando,Florida,666.4694005430603,2008
Orlando,Florida,478.756661803675,2009
Orlando,Florida,432.0604280318923,2010
Orlando,Florida,429.06585854571256,2011
Orlando,Florida,406.95622543233105,2012
Orlando,Florida,365.82187507404115,2013
Orlando,Florida,360.450563204005,2014
Philadelphia,Pennsylvania,586.8363075941244,2005
Philadelphia,Pennsylvania,625.0000000000001,2006
Philadelphia,Pennsylvania,590.1640714633521,2007
Philadelphia,Pennsylvania,576.525014971025,2008
Philadelphia,Pennsylvania,495.29434190248793,2009
Philadelphia,Pennsylvania,485.84343705070694,2010
Philadelphia,Pennsylvania,477.32241668642735,2011
Philadelphia,Pennsylvania,464.02855960238014,2012
Philadelphia,Pennsylvania,439.72486934642,2013
Philadelphia,Pennsylvania,408.5790045553035,2014
Phoenix,Arizona,291.6464342806636,2005
Phoenix,Arizona,295.10169409987714,2006
Phoenix,Arizona,289.4989809936836,2007
Phoenix,Arizona,263.9613882376384,2008
Phoenix,Arizona,218.6056440571755,2009
Phoenix,Arizona,221.3841420223127,2010
Phoenix,Arizona,220.69481077991432,2011
Phoenix,Arizona,254.67365058037348,2012
Phoenix,Arizona,252.75956486050896,2013
Phoenix,Arizona,228.7541539965956,2014
Pittsburgh,Pennsylvania,409.3355100066516,2005
Pittsburgh,Pennsylvania,427.96761592586734,2006
Pittsburgh,Pennsylvania,442.6947360328527,2007
Pittsburgh,Pennsylvania,433.63023273081706,2008
Pittsburgh,Pennsylvania,395.47515949678456,2009
Pittsburgh,Pennsylvania,365.3739882326171,2010
Pittsburgh,Pennsylvania,320.9238875081414,2011
Pittsburgh,Pennsylvania,300.78946019377656,2012
Pittsburgh,Pennsylvania,293.7275706038383,2013
Pittsburgh,Pennsylvania,319.23228212071655,2014
Portland,Maine,285.5720601270569,2005
Portland,Maine,285.66474969290306,2006
Portland,Maine,275.0992784311684,2007
Portland,Maine,249.17589322686393,2008
Portland,Maine,221.42668672937444,2009
Portland,Maine,209.0527873704983,2010
Portland,Maine,205.90144595426028,2011
Portland,Maine,206.87683203547613,2012
Portland,Maine,193.1260014184025,2013
Portland,Maine,189.12667784144801,2014
Sacramento,California,460.48186606668423,2005
Sacramento,California,482.5513731348474,2006
Sacramento,California,445.3843915700069,2007
Sacramento,California,399.08792138139245,2008
Sacramento,California,354.2359475067403,2009
Sacramento,California,352.59213527464794,2010
Sacramento,California,284.25415066995475,2011
Sacramento,California,295.45259014136815,2012
Sacramento,California,262.41054661195955,2013
Sacramento,California,245.9157316055157,2014
Salt Lake City,Utah,281.865599289378,2005
Salt Lake City,Utah,327.13253326518077,2006
Salt Lake City,Utah,337.1271343633196,2007
Salt Lake City,Utah,315.5433927562403,2008
Salt Lake City,Utah,284.1902569664239,2009
Salt Lake City,Utah,277.62282771937373,2010
Salt Lake City,Utah,258.8955893031919,2011
Salt Lake City,Utah,270.5946535733769,2012
Salt Lake City,Utah,312.64783490848697,2013
Salt Lake City,Utah,301.9213174748399,2014
San Antonio,Texas,254.88148822522007,2005
San Antonio,Texas,246.94377285011578,2006
San Antonio,Texas,222.55600729602196,2007
San Antonio,Texas,287.1132082732653,2008
San Antonio,Texas,228.36580452073477,2009
San Antonio,Texas,254.14963157494262,2010
San Antonio,Texas,207.71187134731616,2011
San Antonio,Texas,201.22844123313646,2012
San Antonio,Texas,252.2781260604761,2013
San Antonio,Texas,215.72807174134473,2014
San Diego,California,207.6173526979566,2005
San Diego,California,201.79232377706236,2006
San Diego,California,200.82524841499645,2007
San Diego,California,190.2088223614108,2008
San Diego,California,180.4417948953926,2009
San Diego,California,171.8216738233536,2010
San Diego,California,155.02851731959223,2011
San Diego,California,165.23257403750694,2012
San Diego,California,157.20674183617373,2013
San Diego,California,152.3792823795015,2014
San Francisco,California,319.5527862760488,2005
San Francisco,California,350.2549977549475,2006
San Francisco,California,349.63252879875836,2007
San Francisco,California,337.98412316574456,2008
San Francisco,California,294.2618446320183,2009
San Francisco,California,285.4818779610921,2010
San Francisco,California,263.8514006979248,2011
San Francisco,California,281.6801830409221,2012
San Francisco,California,338.85662273059245,2013
San Francisco,California,318.05469637560657,2014
San Jose,California,153.40549659098897,2005
San Jose,California,154.73391936107618,2006
San Jose,California,160.88975157107183,2007
San Jose,California,154.16891928349324,2008
San Jose,California,144.19151182011902,2009
San Jose,California,135.94913853069215,2010
San Jose,California,133.9934089954466,2011
San Jose,California,145.30051953026197,2012
San Jose,California,129.61841186199968,2013
San Jose,California,128.43685963558715,2014
Seattle,Washington,283.7633693878784,2005
Seattle,Washington,284.49463146570923,2006
Seattle,Washington,250.6844773191048,2007
Seattle,Washington,230.53887710110902,2008
Seattle,Washington,256.3187620222031,2009
Seattle,Washington,230.99924424144828,2010
Seattle,Washington,237.0719287490152,2011
Seattle,Washington,241.32787761320225,2012
Seattle,Washington,233.97125762662276,2013
Seattle,Washington,241.47962798269555,2014
St. Louis,Missouri,962.1826274186787,2005
St. Louis,Missouri,992.2768458165514,2006
St. Louis,Missouri,879.2723659307812,2007
St. Louis,Missouri,829.0754736050123,2008
St. Louis,Missouri,828.0218913988426,2009
St. Louis,Missouri,777.3400063890956,2010
St. Louis,Missouri,742.696299624907,2011
St. Louis,Missouri,710.5850307687958,2012
St. Louis,Missouri,637.4877182849236,2013
St. Louis,Missouri,671.4923377300076,2014
Tampa,Florida,572.2187609220915,2005
Tampa,Florida,463.2459191461512,2006
Tampa,Florida,424.0555127216647,2007
Tampa,Florida,353.20900772013977,2008
Tampa,Florida,300.8982339463493,2009
Tampa,Florida,258.5572623909398,2010
Tampa,Florida,261.89888446121466,2011
Tampa,Florida,246.5517536307084,2012
Tampa,Florida,238.7607667215084,2013
Tampa,Florida,232.97230093748945,2014
Tucson,Arizona,381.3790615491258,2005
Tucson,Arizona,342.2814779385389,2006
Tucson,Arizona,313.6256709835105,2007
Tucson,Arizona,321.5627404677861,2008
Tucson,Arizona,259.86302444792796,2009
Tucson,Arizona,256.1736228072199,2010
Tucson,Arizona,260.8634656545569,2011
Tucson,Arizona,289.72692296838403,2012
Tucson,Arizona,256.37219640485193,2013
Tucson,Arizona,261.1657260756112,2014
